qseqid,non_diazotroph_hits,diazotroph_hits,unicellular_diazotroph_hits,filamentous_diazotroph_hits,anabaena_sp_pcc7120_pident,anabaena_sp_pcc7120_acc,nostoc_punctiforme_pcc73102_pident,nostoc_punctiforme_pcc73102_acc,anabaena_variabilis_atcc29413_pident,anabaena_variabilis_atcc29413_acc,nostoc_azollae_0708_pident,nostoc_azollae_0708_acc,nostoc_sp_pcc7524_pident,nostoc_sp_pcc7524_acc,crocosphaera_subtropica_atcc51142_pident,crocosphaera_subtropica_atcc51142_acc,cyanothece_sp_atcc51142_pident,cyanothece_sp_atcc51142_acc,crocosphaera_watsonii_wh8501_pident,crocosphaera_watsonii_wh8501_acc,gloeothece_sp_6803_pident,gloeothece_sp_6803_acc,cyanosphaera_ocelotica_wh8902_pident,cyanosphaera_ocelotica_wh8902_acc,arthrospira_platensis_nies39_pident,arthrospira_platensis_nies39_acc,arthrospira_maxima_cs-328_pident,arthrospira_maxima_cs-328_acc,lyngbya_aestuarii_bl0902_pident,lyngbya_aestuarii_bl0902_acc,limnothrix_planctonica_pcm8136_pident,limnothrix_planctonica_pcm8136_acc,trichodesmium_erythraeum_ims101_pident,trichodesmium_erythraeum_ims101_acc,synechocystis_sp_pcc6803_pident,synechocystis_sp_pcc6803_acc,synechococcus_elongatus_pcc7942_pident,synechococcus_elongatus_pcc7942_acc,prochlorococcus_marinus_mediterranei_pident,prochlorococcus_marinus_mediterranei_acc,cyanidioschyzon_merolae_10d_pident,cyanidioschyzon_merolae_10d_acc,gloeobacter_violaceus_pcc7421_pident,gloeobacter_violaceus_pcc7421_acc,avg_group_pident
anabaena_sp_pcc7120_WP_006196398.1,3,10,5,5,100.0,anabaena_sp_pcc7120_WP_006196398.1,98.425,nostoc_punctiforme_pcc73102_WP_012410236.1,100.0,anabaena_variabilis_atcc29413_sp|Q3MDM2|RS12_TRIV2,97.638,nostoc_azollae_0708_tr|D7E0Z8|D7E0Z8_NOSA0,99.213,nostoc_sp_pcc7524_tr|K9QXV7|K9QXV7_NOSS7,93.548,crocosphaera_subtropica_atcc51142_sp|B1WQY7|RS12_CROS5,93.548,cyanothece_sp_atcc51142_sp|B1WQY7|RS12_CROS5,93.496,crocosphaera_watsonii_wh8501_tr|Q4C681|Q4C681_CROWT,94.309,gloeothece_sp_6803_sp|B7K837|RS12_GLOC7,94.309,cyanosphaera_ocelotica_wh8902_sp|B7K837|RS12_GLOC7,0,,94.231,arthrospira_maxima_cs-328_tr|B5W3X6|B5W3X6_LIMMA,94.309,lyngbya_aestuarii_bl0902_tr|K8GE70|K8GE70_9CYAN,0,,0,,0,,90.476,synechococcus_elongatus_pcc7942_sp|P74230|RS12_SYNY3,0.0,,0,,0,,98.81899999999999
anabaena_sp_pcc7120_WP_006276978.1,3,10,5,5,100.0,anabaena_sp_pcc7120_WP_006276978.1,100.0,nostoc_punctiforme_pcc73102_WP_006276978.1,100.0,anabaena_variabilis_atcc29413_sp|Q3MFA1|IF1_TRIV2,100.0,nostoc_azollae_0708_tr|D7DYZ3|D7DYZ3_NOSA0,100.0,nostoc_sp_pcc7524_tr|K9QYZ1|K9QYZ1_NOSS7,97.222,crocosphaera_subtropica_atcc51142_tr|B1WQT1|B1WQT1_CROS5,97.222,cyanothece_sp_atcc51142_tr|B1WQT1|B1WQT1_CROS5,98.611,crocosphaera_watsonii_wh8501_tr|Q4C151|Q4C151_CROWT,96.97,gloeothece_sp_6803_tr|B7KI07|B7KI07_GLOC7,96.97,cyanosphaera_ocelotica_wh8902_tr|B7KI07|B7KI07_GLOC7,0,,96.97,arthrospira_maxima_cs-328_tr|B5W6R1|B5W6R1_LIMMA,98.649,lyngbya_aestuarii_bl0902_tr|K8GIR2|K8GIR2_9CYAN,0,,0,,0,,95.946,synechococcus_elongatus_pcc7942_sp|P73301|IF1_SYNY3,0.0,,0,,0,,100.0
anabaena_sp_pcc7120_WP_010994181.1,1,5,0,5,100.0,anabaena_sp_pcc7120_WP_010994181.1,87.937,nostoc_punctiforme_pcc73102_WP_012411167.1,98.413,anabaena_variabilis_atcc29413_sp|Q3M9W1|ATPG_TRIV2,87.937,nostoc_azollae_0708_tr|D7E2I5|D7E2I5_NOSA0,95.223,nostoc_sp_pcc7524_tr|K9QZJ2|K9QZJ2_NOSS7,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0.0,,82.166,lyngbya_aestuarii_bl0902_tr|K8GM47|K8GM47_9CYAN,0,,0,,0,,0.0,,0.0,,0,,0,,92.3775
anabaena_sp_pcc7120_WP_010994182.1,2,9,4,5,100.0,anabaena_sp_pcc7120_WP_010994182.1,93.281,nostoc_punctiforme_pcc73102_WP_012411166.1,99.605,anabaena_variabilis_atcc29413_sp|Q3M9W0|ATPA_TRIV2,91.897,nostoc_azollae_0708_tr|D7E2I4|D7E2I4_NOSA0,97.431,nostoc_sp_pcc7524_tr|K9R0W2|K9R0W2_NOSS7,80.08,crocosphaera_subtropica_atcc51142_tr|B1WUI2|B1WUI2_CROS5,80.08,cyanothece_sp_atcc51142_tr|B1WUI2|B1WUI2_CROS5,0.0,,80.478,gloeothece_sp_6803_sp|B7KKR4|ATPA_GLOC7,80.478,cyanosphaera_ocelotica_wh8902_sp|B7KKR4|ATPA_GLOC7,0,,80.952,arthrospira_maxima_cs-328_tr|B5W2W9|B5W2W9_LIMMA,80.119,lyngbya_aestuarii_bl0902_tr|K8GIW2|K8GIW2_9CYAN,0,,0,,0,,0.0,,0.0,,0,,0,,95.5535
anabaena_sp_pcc7120_WP_010994186.1,3,10,5,5,100.0,anabaena_sp_pcc7120_WP_010994186.1,93.75,nostoc_punctiforme_pcc73102_WP_012411162.1,100.0,anabaena_variabilis_atcc29413_sp|Q3M9V6|ATPL_TRIV2,93.827,nostoc_azollae_0708_tr|D7E2I0|D7E2I0_NOSA0,98.765,nostoc_sp_pcc7524_tr|K9QZJ6|K9QZJ6_NOSS7,85.185,crocosphaera_subtropica_atcc51142_tr|B1WUH8|B1WUH8_CROS5,85.185,cyanothece_sp_atcc51142_tr|B1WUH8|B1WUH8_CROS5,85.185,crocosphaera_watsonii_wh8501_tr|Q4C9T4|Q4C9T4_CROWT,86.42,gloeothece_sp_6803_sp|B7KKR8|ATPL_GLOC7,86.42,cyanosphaera_ocelotica_wh8902_sp|B7KKR8|ATPL_GLOC7,0,,92.188,arthrospira_maxima_cs-328_tr|B5W2X3|B5W2X3_LIMMA,88.889,lyngbya_aestuarii_bl0902_tr|K8GM39|K8GM39_9CYAN,0,,0,,0,,91.667,synechococcus_elongatus_pcc7942_sp|P27182|ATPL_SYNY3,0.0,,0,,0,,96.5855
anabaena_sp_pcc7120_WP_010994187.1,0,7,2,5,100.0,anabaena_sp_pcc7120_WP_010994187.1,82.083,nostoc_punctiforme_pcc73102_WP_012411161.1,99.602,anabaena_variabilis_atcc29413_sp|Q3M9V5|ATP6_TRIV2,80.833,nostoc_azollae_0708_tr|D7E2H9|D7E2H9_NOSA0,97.61,nostoc_sp_pcc7524_tr|K9R0W6|K9R0W6_NOSS7,0.0,,0.0,,0.0,,80.617,gloeothece_sp_6803_tr|B7KKR9|B7KKR9_GLOC7,80.617,cyanosphaera_ocelotica_wh8902_tr|B7KKR9|B7KKR9_GLOC7,0,,0.0,,0.0,,0,,0,,0,,0.0,,0.0,,0,,0,,90.03200000000001
anabaena_sp_pcc7120_WP_010994189.1,0,5,0,5,100.0,anabaena_sp_pcc7120_WP_010994189.1,84.474,nostoc_punctiforme_pcc73102_WP_012411159.1,94.737,anabaena_variabilis_atcc29413_tr|Q3M9V3|Q3M9V3_TRIV2,80.253,nostoc_azollae_0708_tr|D7E2H7|D7E2H7_NOSA0,89.567,nostoc_sp_pcc7524_tr|K9R005|K9R005_NOSS7,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0.0,,0.0,,0,,0,,0,,0.0,,0.0,,0,,0,,87.25775
anabaena_sp_pcc7120_WP_010994198.1,2,7,2,5,100.0,anabaena_sp_pcc7120_WP_010994198.1,86.25,nostoc_punctiforme_pcc73102_WP_012411145.1,100.0,anabaena_variabilis_atcc29413_tr|Q3M9V1|Q3M9V1_TRIV2,88.75,nostoc_azollae_0708_tr|D7DY32|D7DY32_NOSA0,91.925,nostoc_sp_pcc7524_tr|K9QZL0|K9QZL0_NOSS7,80.124,crocosphaera_subtropica_atcc51142_tr|B1WV59|B1WV59_CROS5,80.124,cyanothece_sp_atcc51142_tr|B1WV59|B1WV59_CROS5,0.0,,0.0,,0.0,,0,,81.988,arthrospira_maxima_cs-328_tr|B5VUA1|B5VUA1_LIMMA,85.0,lyngbya_aestuarii_bl0902_tr|K8GI72|K8GI72_9CYAN,0,,0,,0,,0.0,,0.0,,0,,0,,91.73125
anabaena_sp_pcc7120_WP_010994199.1,3,10,5,5,100.0,anabaena_sp_pcc7120_WP_010994199.1,95.679,nostoc_punctiforme_pcc73102_WP_012411144.1,100.0,anabaena_variabilis_atcc29413_tr|Q3M9V0|Q3M9V0_TRIV2,93.125,nostoc_azollae_0708_tr|D7DY33|D7DY33_NOSA0,94.375,nostoc_sp_pcc7524_tr|K9R0X7|K9R0X7_NOSS7,90.0,crocosphaera_subtropica_atcc51142_tr|B1WV60|B1WV60_CROS5,90.0,cyanothece_sp_atcc51142_tr|B1WV60|B1WV60_CROS5,87.5,crocosphaera_watsonii_wh8501_tr|Q4C5A1|Q4C5A1_CROWT,89.375,gloeothece_sp_6803_tr|B7KKT0|B7KKT0_GLOC7,89.375,cyanosphaera_ocelotica_wh8902_tr|B7KKT0|B7KKT0_GLOC7,0,,91.875,arthrospira_maxima_cs-328_tr|B5VUA2|B5VUA2_LIMMA,95.625,lyngbya_aestuarii_bl0902_tr|K8GI09|K8GI09_9CYAN,0,,0,,0,,90.0,synechococcus_elongatus_pcc7942_sp|Q01952|APCB_SYNY3,0.0,,0,,0,,95.79475
anabaena_sp_pcc7120_WP_010994200.1,3,10,5,5,100.0,anabaena_sp_pcc7120_WP_010994200.1,92.537,nostoc_punctiforme_pcc73102_WP_012411143.1,100.0,anabaena_variabilis_atcc29413_tr|Q3M9U9|Q3M9U9_TRIV2,80.597,nostoc_azollae_0708_tr|D7DY34|D7DY34_NOSA0,88.06,nostoc_sp_pcc7524_tr|K9R1R4|K9R1R4_NOSS7,80.0,crocosphaera_subtropica_atcc51142_tr|B1WV62|B1WV62_CROS5,80.0,cyanothece_sp_atcc51142_tr|B1WV62|B1WV62_CROS5,80.0,crocosphaera_watsonii_wh8501_tr|Q4C5A0|Q4C5A0_CROWT,81.538,gloeothece_sp_6803_tr|B7KKT1|B7KKT1_GLOC7,81.538,cyanosphaera_ocelotica_wh8902_tr|B7KKT1|B7KKT1_GLOC7,0,,81.538,arthrospira_maxima_cs-328_tr|B5VUA3|B5VUA3_LIMMA,84.615,lyngbya_aestuarii_bl0902_tr|K8GMC0|K8GMC0_9CYAN,0,,0,,0,,80.0,synechococcus_elongatus_pcc7942_sp|Q01950|PYC1_SYNY3,0.0,,0,,0,,90.2985
