Annotation,Gene length,GENES,UNIPROTKB,WP,non_diazotroph_hits,diazotroph_hits,unicellular_diazotroph_hits,filamentous_diazotroph_hits,avg_group_pident,Protein_names,Croco_%ID_x,Croco_%ID_y,Croco_%ID,FOX probability,Prob_per_len
asr2513,394,asr2513,P58567,WP_010996669,0.0,5.0,0.0,5.0,87.88650000000001,Ferredoxin-3 (Ferredoxin III) (FdIII),0.0,0.0,0.0,0.47905144899999996,0.001215866621827411
alr0267,1327,alr0267,Q8Z036,WP_010994444,,,,,,Alr0267 protein,,,,0.519829074,0.00039173253504144685
all1457,1303,all1457,P12623,WP_010995628,0.0,5.0,0.0,5.0,91.59,Cysteine desulfurase (EC 2.8.1.7) (Nitrogenase metalloclusters biosynthesis protein NifS),0.0,0.0,0.0,0.8090768935,0.0006209339167306217
alr2839,1246,alr2839,Q8YT87,WP_010996990,,,,,,Glycosyltransferase,,,,0.727535421,0.0005838968065810594
alr2827,1129,alr2827,Q8YT97,WP_010996978,,,,,,Alr2827 protein,,,,0.6372842587499999,0.000564467899689991
alr2824,2299,alr2824,Q8YTA0,WP_010996975,,,,,,Alr2824 protein,,,,0.69403264175,0.00030188457666376685
alr1635,1804,alr1635,Q8YWH8,WP_010995804,,,,,,Sulfate permease,,,,0.65809651825,0.0003647985134423504
all0688,1063,all0688,Q7A2H6,WP_010994863,0.0,10.0,5.0,5.0,92.03125,[NiFe] uptake hydrogenase small subunit,80.0,80.0,80.0,0.47945524875,0.0004510397448259643
alr2518,712,alr2518,Q8YU43,WP_010996674,,,,,,Alr2518 protein,,,,0.527598341,0.0007410089058988765
all1425,1387,all1425,Q8YWZ4,WP_010995597,,,,,,All1425 protein,,,,0.52642196875,0.000379539991888969
all5371,493,all5371,Q8YLD1,WP_010999495,,,,,,All5371 protein,,,,0.625276363,0.0012683090527383367
alr3066,1231,alr3066,Q8YSL8,WP_010997217,,,,,,Polysaccharide polymerization protein,,,,0.633220807,0.0005143954565393989
