Annotation,ENS_PRED,Gene length,Prob_per_len,GENES,UNIPROTKB,WP,non_diazotroph_hits,diazotroph_hits,unicellular_diazotroph_hits,filamentous_diazotroph_hits,avg_group_pident,Protein_names
asr2513,0.8347265757588674,394,0.002118595369946364,asr2513,P58567,WP_010996669,0.0,5.0,0.0,5.0,87.88650000000001,Ferredoxin-3 (Ferredoxin III) (FdIII)
alr0267,0.824321715016796,1327,0.0006211919480156714,alr0267,Q8Z036,WP_010994444,,,,,,Alr0267 protein
all1457,0.807054969093152,1303,0.0006193821712150054,all1457,P12623,WP_010995628,0.0,5.0,0.0,5.0,91.59,Cysteine desulfurase (EC 2.8.1.7) (Nitrogenase metalloclusters biosynthesis protein NifS)
alr2839,0.7120024018369606,1246,0.0005714304990665815,alr2839,Q8YT87,WP_010996990,,,,,,Glycosyltransferase
alr2827,0.699778157404976,1129,0.0006198212200221222,alr2827,Q8YT97,WP_010996978,,,,,,Alr2827 protein
alr2824,0.6899674526272905,2299,0.0003001163343311399,alr2824,Q8YTA0,WP_010996975,,,,,,Alr2824 protein
alr1635,0.6478324832237892,1804,0.0003591089153125217,alr1635,Q8YWH8,WP_010995804,,,,,,Sulfate permease
all0688,0.6438638982788535,1063,0.0006057045139029666,all0688,Q7A2H6,WP_010994863,0.0,10.0,5.0,5.0,92.03125,[NiFe] uptake hydrogenase small subunit
alr2518,0.6318849485031777,712,0.000887478860257272,alr2518,Q8YU43,WP_010996674,,,,,,Alr2518 protein
all1425,0.6269741595220972,1387,0.00045203616403900304,all1425,Q8YWZ4,WP_010995597,,,,,,All1425 protein
all5371,0.6231478481457465,493,0.0012639915783889382,all5371,Q8YLD1,WP_010999495,,,,,,All5371 protein
alr3066,0.6188097500232862,1231,0.0005026886677687134,alr3066,Q8YSL8,WP_010997217,,,,,,Polysaccharide polymerization protein
all1597,0.6080419139808213,1180,0.0005152897576108655,all1597,Q8YWL1,WP_010995766,,,,,,Omega-3 fatty acid desaturase
alr2729,0.6070181485829726,601,0.0010100135583743306,alr2729,Q8YTI8,WP_010996882,,,,,,Alr2729 protein
alr3059,0.6067777154263486,2284,0.0002656644988731824,alr3059,Q8YSM5,WP_010997210,,,,,,Alr3059 protein
all5344,0.6059635877259044,568,0.0010668373023343387,all5344,Q8YLF4,WP_010999468,,,,,,All5344 protein
alr1519,0.6059059750128132,1468,0.00041274248979074465,alr1519,Q8YWT1,WP_010995688,,,,,,Amino acid transporter
alr1407,0.6044410353185131,1234,0.0004898225569842083,alr1407,Q44290,WP_010995579,0.0,5.0,0.0,5.0,91.578,Homocitrate synthase 1 (EC 2.3.3.14)
all5342,0.601508110631196,1330,0.00045226173731668874,all5342,Q8YLF6,WP_010999466,,,,,,All5342 protein
alr2836,0.5888602859262745,1069,0.0005508515303332783,alr2836,P22639,WP_010996987,,,,,,Uncharacterized glycosyltransferase alr2836 (EC 2.4.-.-)
alr2823,0.5884599836459621,883,0.000666432597560546,alr2823,Q8YTA1,WP_010996974,,,,,,Alr2823 protein
all3772,0.5865550778154467,1036,0.000566172855034215,all3772,Q8YQP8,WP_010997913,,,,,,All3772 protein
all4376,0.5793712123639684,1369,0.00042320760581736187,all4376,Q939U9,WP_010998513,,,,,,All4376 protein (Sucrose-phosphate synthase)
alr2141,0.577667174729129,1084,0.0005329032977205987,alr2141,Q8YV40,WP_010996299,,,,,,Alr2141 protein
alr3072,0.5742256628147075,1372,0.00041853182420897053,alr3072,Q8YSL2,WP_010997223,,,,,,Alr3072 protein
alr1561,0.5672502797266367,2794,0.00020302443798376403,alr1561,Q8YWP3,WP_010995730,,,,,,Alr1561 protein
alr3825,0.5649126289205649,994,0.0005683225643064034,alr3825,Q8YQJ8,WP_010997966,,,,,,Alr3825 protein
all0919,0.5628697041721741,1390,0.0004049422332173914,all0919,Q8YYD1,WP_010995093,,,,,,All0919 protein
alr0672,0.562399942088739,1402,0.00040114118551265264,alr0672,Q8YZ15,WP_010994848,,,,,,Alr0672 protein
alr5340,0.5609458958645552,1327,0.00042271732921217426,alr5340,Q8YLF8,WP_010999464,,,,,,Alr5340 protein
alr5159,0.5605585656917758,1126,0.000497831763491808,alr5159,Q8YLY7,WP_010999283,,,,,,Alr5159 protein
all2747,0.5561669328216772,550,0.0010112126051303222,all2747,Q8YTH0,WP_010996900,,,,,,All2747 protein
all2127,0.5487610316485968,1459,0.00037612133766182096,all2127,Q8YV54,WP_010996285,,,,,,All2127 protein
all1711,0.548289419884523,1300,0.00042176109221886383,all1711,Q8YWA4,WP_010995880,,,,,,All1711 protein
alr3472,0.5482576810142038,1774,0.0003090516803913212,alr3472,Q8YRH5,WP_010997622,,,,,,Alr3472 protein
all5036,0.5476079581580966,1513,0.00036193520036886757,all5036,Q8YM98,WP_010999162,,,,,,All5036 protein
all4427,0.5473426966356395,1036,0.0005283230662506173,all4427,Q8YNY2,WP_010998562,,,,,,All4427 protein
alr1520,0.5453927492649837,760,0.0007176220385065575,alr1520,Q8YWT0,WP_010995689,,,,,,Alr1520 protein
alr1634,0.5419734987079853,964,0.0005622131729335947,alr1634,Q8YWH9,WP_010995803,,,,,,Alr1634 protein
all1424,0.538283276744287,475,0.0011332279510406042,all1424,Q8YWZ5,WP_010995596,,,,,,All1424 protein
alr4604,0.5380861190563254,2992,0.00017984161733165956,alr4604,Q8YNG2,WP_010998735,,,,,,Type I restriction enzyme endonuclease subunit (R protein) (EC 3.1.21.3)
asl2299,0.5363424485001785,325,0.0016502844569236262,asl2299,Q8YUN8,WP_010996456,,,,,,Asl2299 protein
all2965,0.5351384615579148,589,0.0009085542641051184,all2965,Q8YSW4,WP_010997116,,,,,,All2965 protein
alr3071,0.5341519273567291,1057,0.0005053471403564135,alr3071,Q8YSL3,WP_010997222,,,,,,Alr3071 protein
alr3070,0.5337617548076955,1057,0.0005049780083327299,alr3070,Q8YSL4,WP_010997221,,,,,,Alr3070 protein
