rank_unknown,Annotation,locus_tag,WP,protein_id_base,UNIPROTKB,gene_symbol,product,Protein_names,prob_ensemble_with_position,prob_logreg_with_position,prob_rf_with_position,prob_xgb_with_position,prob_ensemble_mean_no_position,prob_logreg_no_position,prob_rf_no_position,prob_xgb_no_position,Gene length,Prob_per_len,Prob_per_kb,chromosome_region_start,chromosome_region_end,filamentous_diazotroph_hits,non_diazotroph_hits,Cyanothece_%ID,diazo_hit_count,diazo_hit_frac,diazo_mean_pident,nondiazo_hit_frac,nondiazo_mean_pident,diazo_minus_nondiazo_mean_pident,has_cyanothece_51142_hit,has_nondiazo_hit_80pct,Cyanothece_Prot,Gloeothece_Prot,anabaena_variabilis_atcc29413__Prot,anabaena_variabilis_atcc29413__pident,anabaena_variabilis_atcc29413__evalue,arthrospira_maxima_cs-328__Prot,arthrospira_maxima_cs-328__pident,arthrospira_maxima_cs-328__evalue,crocosphaera_watsonii_wh8501__Prot,crocosphaera_watsonii_wh8501__pident,crocosphaera_watsonii_wh8501__evalue,cyanothece_sp_atcc51142__Prot,cyanothece_sp_atcc51142__pident,cyanothece_sp_atcc51142__evalue,gloeothece_sp_6803__Prot,gloeothece_sp_6803__pident,gloeothece_sp_6803__evalue,nostoc_azollae_0708__Prot,nostoc_azollae_0708__pident,nostoc_azollae_0708__evalue,nostoc_punctiforme_pcc73102__Prot,nostoc_punctiforme_pcc73102__pident,nostoc_punctiforme_pcc73102__evalue,synechococcus_elongatus_pcc7942__Prot,synechococcus_elongatus_pcc7942__pident,synechococcus_elongatus_pcc7942__evalue
1,alr2839,PCC7120DELTA_RS15950,WP_010996990.1,WP_010996990,Q8YT87,PCC7120DELTA_RS15950,glycosyltransferase family 4 protein,Glycosyltransferase,0.928815834,0.966294452,0.854107075,0.966046,0.970226603,0.972134162,0.964040103,0.97450554,1246,0.000745438,0.745438069,3459331,3460577,1.0,0.0,0.0,3,0.375,75.44166667,0.0,,,0.0,0.0,,,tr|Q3ME40|Q3ME40_TRIV2,97.375,0.0,,,,,,,,,,,,,tr|D7E1T6|D7E1T6_NOSA0,64.908,0.0,WP_012407811.1,64.042,2.32e-173,,,
2,all5343,PCC7120DELTA_RS28260,WP_044522608.1,WP_044522608,,PCC7120DELTA_RS28260,glycosyltransferase,,0.918088557,0.893594177,0.905947601,0.9547239,0.914404398,0.869091708,0.929120002,0.9450015,1363,0.000673579,0.673579279,6376586,6377949,1.0,0.0,0.0,3,0.375,76.13233333,0.0,,,0.0,0.0,,,tr|Q3M9Y8|Q3M9Y8_TRIV2,98.091,0.0,,,,,,,,,,,,,tr|D7E4W1|D7E4W1_NOSA0,63.484,0.0,WP_012406880.1,66.822,0.0,,,
3,alr2829,PCC7120DELTA_RS15900,WP_010996980.1,WP_010996980,Q8YT95,PCC7120DELTA_RS15900,hypothetical protein,Alr2829 protein,0.917192276,0.905890892,0.869169748,0.9765162,0.939387276,0.907634054,0.935658822,0.97486895,913,0.001004592,1.004591759,3445348,3446261,1.0,0.0,0.0,3,0.375,66.73733333,0.0,,,0.0,0.0,,,tr|Q3ME50|Q3ME50_TRIV2,92.963,0.0,,,,,,,,,,,,,tr|D7E1U6|D7E1U6_NOSA0,50.0,1.84e-98,WP_012407822.1,57.249,5.900000000000001e-116,,,
4,all1432,PCC7120DELTA_RS08985,WP_044520947.1,WP_044520947,,PCC7120DELTA_RS08985,HesA/MoeB/ThiF family protein,,0.915784683,0.981194147,0.789833973,0.9763259,0.962160067,0.984258819,0.935106457,0.9671149,859,0.001066106,1.066105568,1692615,1693474,3.0,0.0,70.612,8,1.0,78.6985,0.0,,,0.0,0.0,tr|A1KYE5|A1KYE5_CROS5,tr|B7KG66|B7KG66_GLOC7,sp|P46049|HESA1_TRIV2,98.876,0.0,,,,tr|Q4C2X8|Q4C2X8_CROWT,70.612,1.0600000000000001e-123,tr|A1KYE5|A1KYE5_CROS5,70.612,4.06e-124,tr|B7KG66|B7KG66_GLOC7,69.057,8.85e-127,tr|D7E3T2|D7E3T2_NOSA0,89.922,4.2400000000000006e-166,WP_012407190.1,90.84,5.05e-171,,,
5,alr2832,PCC7120DELTA_RS15915,WP_010996983.1,WP_010996983,Q8YT92,PCC7120DELTA_RS15915,glycosyltransferase,Alr2832 protein,0.912938409,0.980579794,0.790590264,0.96764517,0.973482242,0.980528265,0.958815279,0.9811032,1189,0.00076782,0.767820361,3448604,3449793,3.0,0.0,0.0,3,0.375,89.568,0.0,,,0.0,0.0,,,tr|Q3ME47|Q3ME47_TRIV2,99.724,0.0,,,,,,,,,,,,,tr|D7E1U3|D7E1U3_NOSA0,83.702,0.0,WP_012407818.1,85.278,0.0,,,
6,alr2833,PCC7120DELTA_RS15920,WP_044523061.1,WP_044523061,,PCC7120DELTA_RS15920,GumC family protein,,0.911512569,0.99819675,0.763515906,0.97282505,0.977560593,0.997936567,0.956095118,0.9786501,2416,0.000377282,0.377281692,3449719,3452135,1.0,0.0,0.0,3,0.375,85.14033333,0.0,,,0.0,0.0,,,tr|Q3ME46|Q3ME46_TRIV2,99.325,0.0,,,,,,,,,,,,,tr|D7E1U2|D7E1U2_NOSA0,77.12,0.0,WP_012407817.1,78.976,0.0,,,
7,asl1434,PCC7120DELTA_RS08995,WP_010995606.1,WP_010995606,Q44148,PCC7120DELTA_RS08995,CCE_0567 family metalloprotein,UPF0437 protein asl1434,0.902886137,0.999906766,0.726851132,0.9819005,0.961819666,0.999928467,0.920533179,0.96499735,316,0.002857235,2.857234611,1693743,1694059,2.0,0.0,62.069,8,1.0,71.440875,0.0,,,0.0,0.0,tr|A1KYE3|A1KYE3_CROS5,tr|B7KG68|B7KG68_GLOC7,tr|Q3M645|Q3M645_TRIV2,94.366,1.02e-44,,,,tr|Q4C2Y0|Q4C2Y0_CROWT,59.375,1.41e-23,tr|A1KYE3|A1KYE3_CROS5,62.069,1.5899999999999998e-23,tr|B7KG68|B7KG68_GLOC7,64.516,4.86e-26,tr|D7E3T4|D7E3T4_NOSA0,78.462,1.79e-32,WP_012407192.1,86.154,1e-36,,,
8,all5342,PCC7120DELTA_RS28255,WP_010999466.1,WP_010999466,Q8YLF6,PCC7120DELTA_RS28255,glycosyltransferase,All5342 protein,0.900168827,0.8940928,0.841504129,0.96490955,0.918280632,0.875775204,0.916284249,0.96278244,1330,0.000676819,0.676818667,6375222,6376552,1.0,0.0,0.0,1,0.125,96.822,0.0,,,0.0,0.0,,,tr|Q3M9Y9|Q3M9Y9_TRIV2,96.822,0.0,,,,,,,,,,,,,,,,,,,,,
9,alr2837,PCC7120DELTA_RS15940,WP_010996988.1,WP_010996988,Q8YT89,PCC7120DELTA_RS15940,glycosyltransferase family 2 protein,Glycosyltransferase,0.895917232,0.934457673,0.780361446,0.9729326,0.946292346,0.946472669,0.920314482,0.9720899,1075,0.000833411,0.833411379,3457235,3458310,1.0,0.0,0.0,3,0.375,71.99533333,0.0,,,0.0,0.0,,,tr|Q3ME42|Q3ME42_TRIV2,95.679,0.0,,,,,,,,,,,,,tr|D7E1T7|D7E1T7_NOSA0,57.538,1.48e-141,WP_012407812.1,62.769,1.2200000000000001e-157,,,
10,alr2828,PCC7120DELTA_RS15895,WP_010996979.1,WP_010996979,Q8YT96,PCC7120DELTA_RS15895,glycosyltransferase family 2 protein,Alr2828 protein,0.889220719,0.854526394,0.835261187,0.9778746,0.92414661,0.859053947,0.934138313,0.97924757,1114,0.000798223,0.798223267,3444327,3445441,1.0,0.0,0.0,3,0.375,64.42766667,0.0,,,0.0,0.0,,,tr|Q3ME51|Q3ME51_TRIV2,95.846,0.0,,,,,,,,,,,,,tr|D7E1U7|D7E1U7_NOSA0,47.904,1.13e-113,WP_012407823.1,49.533,2.34e-117,,,
